forecast_created_utc,nominal_forecast_issue_time_local,weather_run_init_utc,target_date,settlement_period,valid_time_local,valid_time_utc,wind_pred_cf,wind_forecast_mw,wind_capacity_mw,solar_pred_cf,solar_forecast_mw,solar_capacity_mw,weather_model,capacity_source,capacity_source_date
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,1,2026-08-16T00:00:00+0100,2026-08-15T23:00:00+0000,0.11341273039579391,727.7694909498096,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,2,2026-08-16T00:30:00+0100,2026-08-15T23:30:00+0000,0.09954176098108292,638.7594802156091,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,3,2026-08-16T01:00:00+0100,2026-08-16T00:00:00+0000,0.09539905935525894,612.1757638826966,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,4,2026-08-16T01:30:00+0100,2026-08-16T00:30:00+0000,0.09273483604192734,595.0794428810477,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,5,2026-08-16T02:00:00+0100,2026-08-16T01:00:00+0000,0.08930692821741104,573.0825583711267,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,6,2026-08-16T02:30:00+0100,2026-08-16T01:30:00+0000,0.0876212865114212,562.2657955437899,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,7,2026-08-16T03:00:00+0100,2026-08-16T02:00:00+0000,0.08508837223052979,546.0120846033096,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,8,2026-08-16T03:30:00+0100,2026-08-16T02:30:00+0000,0.08430802822113037,541.0046170949936,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,9,2026-08-16T04:00:00+0100,2026-08-16T03:00:00+0000,0.08566269278526306,549.6974996030331,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,10,2026-08-16T04:30:00+0100,2026-08-16T03:30:00+0000,0.08174226433038712,524.5401102080941,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,11,2026-08-16T05:00:00+0100,2026-08-16T04:00:00+0000,0.08083469420671463,518.7162327244878,6417.0,0.0,0.0,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,12,2026-08-16T05:30:00+0100,2026-08-16T04:30:00+0000,0.08152642846107483,523.1550914347172,6417.0,0.00012548044644405937,2.9238198825930275,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,13,2026-08-16T06:00:00+0100,2026-08-16T05:00:00+0000,0.07911241054534912,507.6643384695053,6417.0,0.0031901837756668906,74.33447215681421,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,14,2026-08-16T06:30:00+0100,2026-08-16T05:30:00+0000,0.08151658624410629,523.0919339284301,6417.0,0.01684694184449119,392.5505919184892,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,15,2026-08-16T07:00:00+0100,2026-08-16T06:00:00+0000,0.08364739269018173,536.7653188928962,6417.0,0.039370413542963646,917.370005964596,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,16,2026-08-16T07:30:00+0100,2026-08-16T06:30:00+0000,0.07811345905065536,501.2540667280555,6417.0,0.05645485569974824,1315.4545926598337,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,17,2026-08-16T08:00:00+0100,2026-08-16T07:00:00+0000,0.06881999969482422,441.617938041687,6417.0,0.07506929307952873,1749.1895980460988,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,18,2026-08-16T08:30:00+0100,2026-08-16T07:30:00+0000,0.06391557306051254,410.146232329309,6417.0,0.12603129942857394,2936.6553079852015,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,19,2026-08-16T09:00:00+0100,2026-08-16T08:00:00+0000,0.06520088762044907,418.39409586042166,6417.0,0.17494400456925327,4076.3702504681705,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,20,2026-08-16T09:30:00+0100,2026-08-16T08:30:00+0000,0.06748460978269577,433.04874097555876,6417.0,0.20686800912147607,4820.2314805395135,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,21,2026-08-16T10:00:00+0100,2026-08-16T09:00:00+0000,0.06288092583417892,403.50690107792616,6417.0,0.24068035352968897,5608.092917595282,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,22,2026-08-16T10:30:00+0100,2026-08-16T09:30:00+0000,0.06357016414403915,407.92974331229925,6417.0,0.2763706156994863,6439.71171641373,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,23,2026-08-16T11:00:00+0100,2026-08-16T10:00:00+0000,0.06483115255832672,416.02150596678257,6417.0,0.29996404048716413,6989.462107391411,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,24,2026-08-16T11:30:00+0100,2026-08-16T10:30:00+0000,0.07104751467704773,455.9119016826153,6417.0,0.3460020414133867,8062.193566973323,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
2026-08-15T07:50:19+0000,2026-08-15T09:00:00+0100,2026-08-15T00:00:00+0000,2026-08-16,25,2026-08-16T12:00:00+0100,2026-08-16T11:00:00+0000,0.06524955481290817,418.70639323443174,6417.0,0.4215498440308324,9822.532915762426,23301.0,ECMWF IFS HRES 9 km,NESO Daily Demand Update,2026-08-16
